describe,evaluate,introduce,movie_name,serial_number,src,star
童话世界的开端。,377606人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,75,https://movie.douban.com/subject/1295038/,8.8
史诗大片的典范。,352820人评价,1995/美国/动作传记剧情历史战争,勇敢的心,76,https://movie.douban.com/subject/1294639/,8.8
浪漫忧郁的成人童话。,601612人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,77,https://movie.douban.com/subject/1292370/,8.7
安东尼·霍普金斯的顶级表演。,436506人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,78,https://movie.douban.com/subject/1293544/,8.8
人的命运被自己瞬间的抉择改变。,480138人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,79,https://movie.douban.com/subject/1292343/,8.7
爱情纠缠，男女一致。,317469人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,80,https://movie.douban.com/subject/1292679/,8.9
人生中应该拥有这样的一段豁然开朗。,348916人评价,1997/美国/剧情,心灵捕手,81,https://movie.douban.com/subject/1292656/,8.8
死亡不是真的逝去，遗忘才是永恒的消亡。,643547人评价,2017/美国/喜剧动画奇幻音乐,寻梦环游记,82,https://movie.douban.com/subject/20495023/,9.0
骗子大师和执著警探的你追我跑故事。 ,321587人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,83,https://movie.douban.com/subject/1305487/,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,371414人评价,2008/日本/剧情,入殓师,84,https://movie.douban.com/subject/2149806/,8.8
小清新的故事里注入了大历史的情怀。,423727人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,85,https://movie.douban.com/subject/11525673/,8.8
昔日翩翩少年，今日大腹便便。,463002人评价,2010/美国/剧情悬疑惊悚,禁闭岛,86,https://movie.douban.com/subject/2334904/,8.7
人与自然的战争史诗。,293820人评价,1997/日本/动画奇幻冒险,幽灵公主,87,https://movie.douban.com/subject/1297359/,8.8
一场华丽的意淫。,339906人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,88,https://movie.douban.com/subject/1291875/,8.8
你是我最好的朋友，你是我唯一的朋友 。,268254人评价,2009/澳大利亚/剧情动画,玛丽和马克思,89,https://movie.douban.com/subject/3072124/,8.9
深入内心的恐怖，出人意料的结局。,291083人评价,1999/美国/剧情悬疑惊悚,第六感,90,https://movie.douban.com/subject/1297630/,8.8
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,205962人评价,2008/英国美国/剧情战争,穿条纹睡衣的男孩,91,https://movie.douban.com/subject/3008247/,9.0
寂寞没有期限。,414898人评价,1994/香港/剧情爱情,重庆森林,92,https://movie.douban.com/subject/1291999/,8.7
人言可畏。,172770人评价,2012/丹麦瑞典/剧情,狩猎,93,https://movie.douban.com/subject/6985810/,9.1
最不可能的那个人永远是最可能的。,401872人评价,2003/美国/剧情悬疑惊悚,致命ID,94,https://movie.douban.com/subject/1297192/,8.7
每个人心中都有一座断背山。,398583人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,95,https://movie.douban.com/subject/1418834/,8.7
约翰尼·德普的独角戏。,446623人评价,2003/美国/动作冒险奇幻,加勒比海盗,96,https://movie.douban.com/subject/1298070/,8.7
绝对意义上的美轮美奂。,668628人评价,2009/美国英国/动作战争科幻冒险,阿凡达,97,https://movie.douban.com/subject/1652587/,8.6
大时代中的人生，小人物的悲喜。,122272人评价,1936/美国/喜剧剧情爱情,摩登时代,98,https://movie.douban.com/subject/1294371/,9.2
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,309886人评价,2003/美国/剧情家庭奇幻冒险,大鱼,99,https://movie.douban.com/subject/1291545/,8.8
没有一人完全善，也没有一人完全恶。,419830人评价,2010/日本/剧情惊悚,告白,100,https://movie.douban.com/subject/4268598/,8.7
我们都曾经是一一。,189285人评价,2000/台湾日本/剧情爱情家庭,一一,101,https://movie.douban.com/subject/1292434/,9.0
百看不厌。 ,338966人评价,1993/香港/喜剧古装,射雕英雄传之东成西就,102,https://movie.douban.com/subject/1316510/,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,334118人评价,2011/韩国/剧情喜剧,阳光姐妹淘,103,https://movie.douban.com/subject/4917726/,8.8
相逢只要一瞬间，等待却像是一辈子。,277191人评价,1996/香港/剧情爱情,甜蜜蜜,104,https://movie.douban.com/subject/1305164/,8.8
年度最佳date movie。,455395人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,105,https://movie.douban.com/subject/21318488/,8.7
缘分是个连绵词，最美不过一瞬。,280250人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,106,https://movie.douban.com/subject/1296339/,8.8
我是一个演员。,417389人评价,1999/香港/喜剧剧情爱情,喜剧之王,107,https://movie.douban.com/subject/1302425/,8.6
被上帝抛弃了的上帝之城。,183361人评价,2002/巴西法国/犯罪剧情,上帝之城,108,https://movie.douban.com/subject/1292208/,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,185670人评价,2014/日本/剧情,小森林 夏秋篇,109,https://movie.douban.com/subject/25814705/,8.9
少女情怀总是诗。,218378人评价,1995/日本/剧情爱情动画,侧耳倾听,110,https://movie.douban.com/subject/1297052/,8.8
动画片的圣经。,217468人评价,1984/日本/动画奇幻冒险,风之谷,111,https://movie.douban.com/subject/1291585/,8.8
两张绝世的脸。 ,337985人评价,1987/香港/剧情爱情武侠古装,倩女幽魂,112,https://movie.douban.com/subject/1297447/,8.7
恐怖分子的“秋菊打官司”。,297846人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,113,https://movie.douban.com/subject/21360417/,8.7
梦的勾结。,176563人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,114,https://movie.douban.com/subject/1865703/,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,222777人评价,2011/美国/剧情,超脱,115,https://movie.douban.com/subject/5322596/,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,246351人评价,2004/美国/剧情爱情,爱在日落黄昏时,116,https://movie.douban.com/subject/1291990/,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,238954人评价,1999/日本/剧情喜剧,菊次郎的夏天,117,https://movie.douban.com/subject/1293359/,8.8
和谐的生活离不开摸头与被摸头。,361729人评价,2010/美国/喜剧动画奇幻冒险,驯龙高手,118,https://movie.douban.com/subject/2353023/,8.7
有时候幸福需要等一等。 ,274407人评价,2004/美国/喜剧剧情爱情,幸福终点站,119,https://movie.douban.com/subject/1292274/,8.7
沉醉在电影的情感和视听氛围中无法自拔。,257453人评价,2017/意大利法国巴西美国/剧情爱情同性,请以你的名字呼唤我,120,https://movie.douban.com/subject/26799731/,8.8
Mr. I Don't Care其实也有Care的时候。,489085人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,121,https://movie.douban.com/subject/3287562/,8.5
关于连环杀人悬案的集体回忆。,261256人评价,2003/韩国/犯罪剧情悬疑惊悚,杀人回忆,122,https://movie.douban.com/subject/1300299/,8.7
曾经的那段美好会沉淀为一辈子的记忆。,268752人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,123,https://movie.douban.com/subject/4202302/,8.7
10年的完美句点。,351026人评价,2011/美国英国/剧情悬疑奇幻冒险,哈利·波特与死亡圣器(下),124,https://movie.douban.com/subject/3011235/,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,161385人评价,2015/日本/剧情,小森林 冬春篇,125,https://movie.douban.com/subject/25814707/,9.0
时代悲歌。,96932人评价,1954/日本/动作冒险剧情,七武士,126,https://movie.douban.com/subject/1295399/,9.2
岁月流逝，来日可追。,359132人评价,2010/香港中国大陆/剧情家庭,岁月神偷,127,https://movie.douban.com/subject/3792799/,8.6
不要给它起名字，起了名字就有感情了。,311215人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,128,https://movie.douban.com/subject/1291579/,8.6
爱，是个动词。,386805人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,129,https://movie.douban.com/subject/1292401/,8.5
《我是山姆》的《美丽人生》。,229543人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,130,https://movie.douban.com/subject/10777687/,8.7
幸福是生生不息，却难以触及的远。 ,244860人评价,1988/日本/动画剧情战争,萤火虫之墓,131,https://movie.douban.com/subject/1293318/,8.7
像吃了苏打饼一样干脆的电影。,224130人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,132,https://movie.douban.com/subject/1578507/,8.7
真相就在眼前。,245521人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,133,https://movie.douban.com/subject/1417598/,8.7
触不到的恋人。,212555人评价,2011/日本/剧情爱情动画奇幻,萤火之森,134,https://movie.douban.com/subject/5989818/,8.8
老少皆宜，这就是好莱坞动画的魅力。,454201人评价,2013/美国/喜剧动画冒险,疯狂原始人,135,https://movie.douban.com/subject/1907966/,8.7
电影诗。,315712人评价,1994/香港台湾/剧情动作爱情武侠古装,东邪西毒,136,https://movie.douban.com/subject/1292328/,8.6
中国家庭的喜怒哀乐忍。,172583人评价,1993/台湾美国/剧情喜剧爱情同性家庭,喜宴,137,https://movie.douban.com/subject/1303037/,8.8
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,457332人评价,2008/英国美国/剧情爱情,贫民窟的百万富翁,138,https://movie.douban.com/subject/2209573/,8.5
Balalala~~~,476476人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,139,https://movie.douban.com/subject/11026735/,8.6
华太师是黄霑，吴镇宇四大才子之一。,447047人评价,1993/香港/喜剧爱情古装,唐伯虎点秋香,140,https://movie.douban.com/subject/1306249/,8.5
诺兰就是保证。,361026人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,141,https://movie.douban.com/subject/3395373/,8.6
一个针管引发的血案。,336073人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,142,https://movie.douban.com/subject/1304447/,8.6
黑暗之美。,495760人评价,2010/美国/剧情惊悚,黑天鹅,143,https://movie.douban.com/subject/1978709/,8.5
英雄泪短，兄弟情长。 ,228944人评价,1986/香港/动作犯罪,英雄本色,144,https://movie.douban.com/subject/1297574/,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,236630人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,145,https://movie.douban.com/subject/25917973/,8.7
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,242992人评价,1988/美国/剧情,雨人,146,https://movie.douban.com/subject/1291870/,8.7
爱是摈弃傲慢与偏见之后的曙光。,374302人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,147,https://movie.douban.com/subject/1418200/,8.5
始于荒诞，止于更荒诞。,189249人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,148,https://movie.douban.com/subject/24750126/,8.8
我的平常生活就是他人的幸福。,100904人评价,2004/日本/剧情,无人知晓,149,https://movie.douban.com/subject/1292337/,9.1
当这个世界闭上双眼，他却敞开了怀抱。,145767人评价,2004/英国南非意大利美国/剧情历史战争,卢旺达饭店,150,https://movie.douban.com/subject/1291822/,8.9
香港浪漫主义警匪动作片的巅峰之作。,191799人评价,1991/香港/剧情喜剧动作犯罪,纵横四海,151,https://movie.douban.com/subject/1295409/,8.7
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,258260人评价,2013/英国/剧情爱情奇幻,时空恋旅人,152,https://movie.douban.com/subject/10577869/,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,406088人评价,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,153,https://movie.douban.com/subject/26325320/,8.7
任何信念的力量，都无法改变命运。,164270人评价,1990/美国/剧情犯罪,教父3,154,https://movie.douban.com/subject/1294240/,8.8
大海啊，不全是水。,109258人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,155,https://movie.douban.com/subject/3443389/,9.0
跨度十五年的欢乐与泪水。,234384人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,156,https://movie.douban.com/subject/1858711/,8.8
我们都有权利不与自己的过去和解。,258518人评价,2016/美国/剧情家庭,海边的曼彻斯特,157,https://movie.douban.com/subject/25980443/,8.6
偷情本没有这样美。,299401人评价,2000/香港/剧情爱情,花样年华,158,https://movie.douban.com/subject/1291557/,8.6
坏人的好总是比好人的好来得更感人。,103103人评价,1993/美国/剧情犯罪,完美的世界,159,https://movie.douban.com/subject/1300992/,9.0
Jared Leto的腿比女人还美！,232073人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,160,https://movie.douban.com/subject/1793929/,8.7
永远看不腻的喜剧。,126247人评价,1966/法国英国/喜剧战争,虎口脱险,161,https://movie.douban.com/subject/1296909/,8.9
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,343100人评价,2004/美国/剧情爱情,恋恋笔记本,162,https://movie.douban.com/subject/1309163/,8.5
感情不分食草或者食肉。,180380人评价,2010/日本/剧情动画儿童,你看起来好像很好吃,163,https://movie.douban.com/subject/4848115/,8.8
传奇，不是每个人都可以拥有。,169638人评价,1994/美国/剧情爱情西部家庭,燃情岁月,164,https://movie.douban.com/subject/1295865/,8.7
有一些东西不应该被遗忘。,140724人评价,2015/中国大陆/纪录片,二十二,165,https://movie.douban.com/subject/26430107/,8.7
骨灰级歌舞片。,110401人评价,1952/美国/喜剧歌舞爱情,雨中曲,166,https://movie.douban.com/subject/1293460/,9.0
松鼠才是角儿。,333019人评价,2002/美国/喜剧动画冒险,冰川时代,167,https://movie.douban.com/subject/1291578/,8.5
爱并不需要智商 。,130655人评价,2001/美国/剧情家庭,我是山姆,168,https://movie.douban.com/subject/1306861/,8.8
爱上未来的你。 ,220805人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,169,https://movie.douban.com/subject/1937946/,8.6
中国式内在的美国电影。,150447人评价,1940/美国/剧情战争爱情,魂断蓝桥,170,https://movie.douban.com/subject/1293964/,8.8
不可猜的青春迷笛。 ,284593人评价,1996/英国/犯罪剧情,猜火车,171,https://movie.douban.com/subject/1292528/,8.5
对爱的执着，可以超越一切。,229789人评价,2001/美国/冒险剧情科幻,人工智能,172,https://movie.douban.com/subject/1302827/,8.6
愿我们都不用长大，每一座城堡都能永远存在。,291974人评价,2015/美国/喜剧动画冒险,头脑特工队,173,https://movie.douban.com/subject/10533913/,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,312174人评价,2012/美国/剧情动作西部冒险,被解救的姜戈,174,https://movie.douban.com/subject/6307447/,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,287657人评价,2014/美国/剧情音乐,爆裂鼓手,175,https://movie.douban.com/subject/25773932/,8.6
迪士尼和皮克斯拿错剧本的产物。,255846人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,176,https://movie.douban.com/subject/6534248/,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,624773人评价,2016/日本/剧情爱情动画,你的名字。,177,https://movie.douban.com/subject/26683290/,8.4
好的剧本是，就算你猜到了结局也猜不到全部。,124739人评价,1997/日本/动画奇幻惊悚,未麻的部屋,178,https://movie.douban.com/subject/1395091/,8.9
人生的N种可能性。,155264人评价,1950/日本/犯罪剧情悬疑,罗生门,179,https://movie.douban.com/subject/1291879/,8.7
一个单凭体香达到高潮的男人。,327271人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,180,https://movie.douban.com/subject/1760622/,8.4
王家卫是一种风格，张国荣是一个代表。,258004人评价,1990/香港/犯罪剧情爱情,阿飞正传,181,https://movie.douban.com/subject/1305690/,8.5
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,312817人评价,2014/英国美国/剧情传记战争同性,模仿游戏,182,https://movie.douban.com/subject/10463953/,8.6
世界离独裁只有五天。,157139人评价,2008/德国/剧情惊悚,浪潮,183,https://movie.douban.com/subject/2297265/,8.7
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,197041人评价,2015/爱尔兰加拿大英国美国/剧情家庭,房间,184,https://movie.douban.com/subject/25724855/,8.8
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,312371人评价,2008/美国德国/剧情爱情,朗读者,185,https://movie.douban.com/subject/2213597/,8.5
惠及一生的美丽。,162139人评价,2015/瑞典/剧情,一个叫欧维的男人决定去死,186,https://movie.douban.com/subject/26628357/,8.8
不要企图在重复中寻找已经失去的爱。,398889人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,187,https://movie.douban.com/subject/3011051/,8.4
养狗三日，便会对你终其一生。,79946人评价,1987/日本/剧情,忠犬八公物语,188,https://movie.douban.com/subject/1959195/,9.1
来啊，互相伤害啊！,276889人评价,2016/意大利/剧情喜剧,完美陌生人,189,https://movie.douban.com/subject/26614893/,8.6
